sentiment,content
sadness,im strict diet ugh feel like cheat day ill throw
worry,oh hubs sick hope dont catch
neutral,ze franz friended think think im creepy stalker sommat hmph
hate,taking horrible shoes mum urgggh nasty footwear problem shoes
worry,ran money r sad panda
neutral,today kiss
sadness,cal dachshund rescue home foster pup max im soooooo sad leave
sadness,wow feel like ish really feel bad ignorent aholes wont overturn prop 8
sadness,work finish 9pm booooo
sadness,wishes hadnt teased movie night
worry,gotta wiat till week btwyou mumbai
neutral,dont know tired today bye time beddy
sadness,maybe drinking feel massive hangover yself today
worry,really bad head ache gonna bed maybe bye bye
worry,friends travellers tales held farewell party kinda disappointed sep fault
hate,night 5 talking victor im bored night grrrr hate shit
neutral,ooh maggi goreng yums eat sore throat cmin
hate,gonna try catch zs high school tomorrow really sucks wish didnt grow
neutral,morning hon having breakfast decide
sadness,sleeping lost voice couple day ago
neutral,did mention bf bubbled wsop employees event 12 hrs aa working doubles 6 weeks
sadness,sleepy earlier didnt matt
love,big day 2day xt launch amazing free stuff thanx 2 edge telecom phone wantcnt afford tho
worry,oh yeah im poorest person shouldnt joke poor people
sadness,just realized spelled quotadorablequot wrong tweeted hate
neutral,gone
worry,oh hope gets better
worry,crew dont dont think wrong number times
sadness,glowing face complexion pale
sadness,downloadfestivals lineup isnt good thought awesome bands doing festivals missing dl
worry,havent watched gossip girl ageeees need tree hill season 3 god im slow
relief,youre cycling tho thats good healthy eating healthy eating contradiction terms
hate,soooim kinda o sick n tired bs guys dish
love,hate fleetwood favorite bandim jealous ok love haha
surprise,wish carlton game live stupid channel 7 lol
worry,early tomorrow heading bed saying im going midday nap happened week
neutral,ups ketauan cabut sama nih
love,bt gamer like 2 years attempt lol yea luvd f1 extent
neutral,4pm friday left 6am thursday surely
worry,im sorry ya gotta let know ive booked week
happiness,hahaha oh man come pomona love everyday instead like year
worry,miss come michigan like nowi wait till july
neutral,maybe good nights sleep
worry,farrrrr pdhpe assignment week english homework
worry,forgot access card carï½too lazy fetch
neutral,yea tough going im sure worth
fun,dissapointment hhaha
worry,hun okay alot posts exercising like madnot eating sleeping
sadness,oh tweetdeck malfunctioning o il web fixd
sadness,im sorry sick u know know u guess quotpelzer presentquot
sadness,adam samberg new moon trailor good evening bad cable friday
worry,happened im afraid missed large story
neutral,work 545am
neutral,hell yes im late
worry,dell fx100 pcoverip audio device teradici giving hard time linux ubuntu jaunty kernel isnt loading sndhdaintel drv
sadness,just got ass kicked tripoly lol got bad cards suck
fun,creeped ice cream social good times lars real girl sad movie
worry,sooo hot hufff
worry,closeness distance closeness distant
sadness,annnnnnddd bites dust
worry,ahhhhh quotlet right inquot dvd broke
worry,thoughts dwell certain person
worry,fml work uniform washing line
worry,ohh shit just realized talking b like dat times
sadness,42nd written fuck ideas day day
worry,naw doesnt match lol shenanigans discuss did thing
worry,unfortunately
worry,dude didnt know personal experience sorry like went
worry,aww just randomly woke sleep things mind
worry,baby miss
neutral,obviously living alaska radio stations
hate,just murdered fucking mouses sleep
neutral,oh noes hey whats tatoo say
neutral,dont vcr
sadness,wish time xbox project tied
worry,pancakes end soggy
worry,4 big zongzi lunch ate work morework eat wh useless
hate,sososo bummed like really bummed hate rain ruin date
hate,working late night dell notebook dells quality gone hill warrenty service sucks poor people buy mac instead
surprise,wow hurt way worse thought
worry,thoughts make sense im sober
neutral,know right hopefully comes
worry,sleep tomorrow wake early
worry,body developed mind mind refuses cooperate set schedules
neutral,supposed sun private jet btwo mite hav stay bymyself thnk god week amp want bruno
sadness,trash repops getting tomorrow night suppose
worry,nursing bruises motorbike crash wednesday night leaving london workplace ground harder older
worry,bored headache
neutral,huge headachegoodnight
sadness,feels like crap lays 1 hate heartburn amp backaches
sadness,miss lonely
sadness,noice realised exams 2 weeks forgot 2 weeks unit 4 term 2 thing
neutral,justwatched like 5 straight episodes escaped id discovery channel guy imprisoned 6 women killed 2 cooked
sadness,missing
neutral,02 just 3 points
hate,make pork products theyve fucking stopped importing dubai bad times
worry,build failed right big scheme things
worry,wife took ï½20 mcdonalds breakfast today
love,wish going love sounds
sadness,sisser moving tomorrow makes sad actually guess technically couple hours friday
worry,falling asleep im suppose awake miss babyy
neutral,
worry,way nottinghami dont want going
surprise,churchill downs tomorrow
neutral,chicago isnt ride calling
neutral,k goodnight gotta chuck e cheese tomorrow following kindergarten shots physical bla
worry,need wake earlier im actually tired fall asleep
surprise,bahh police ended party 5 just starting
neutral,ive got catch bus work
sadness,sad
surprise,omg youve seen ring creppy ass movie
surprise,mannnn got iphone im jealous
love,funny u havent showed love
neutral,absolutely nothin
love,luv urs admitting niley kiss change minds haha amp demisterling jemi cute
neutral,makes feel better lost 10 overnight cause posted picture baby
sadness,sick sigh
worry,oh poor beths friend im naughty im just unperfect
surprise,josh just called big bucket ugly wish luck audition tweets
sadness,feel really weird
surprise,im trying self learn photoshop going
worry,seen tv dead like died grim reaper taking peoples souls accidents
neutral,im sorry im thinking hope week gets better
worry,steam punlk fashion anime north year torcon arent til amp missed
sadness,throat hurts gonna read bed text mee
worry,dying hangout friday afternoon
worry,eh cold
neutral,mannnn got iphone im jealous
sadness,fjdskal im really frustrated
neutral,aww shouldve youtubed
sadness,wondering come mcdonalds long deliver food
surprise,ya weather super weird looked like gonna rain today course didnt darnitt
sadness,injustice imagine worse gets better afraid doubt sorry
neutral,miss nostalgia kick tushar
sadness,soooim kind sick n tired bs guys dish
worry,class color day tomorrow time lot remember tomorrow bet ill forget _
sadness,idk lol head hurts rly bad amp does stomach hmm personally think s ive 2 deal wit
worry,expensive
hate,wtf facebook just cleared survey q night gets better better
neutral,says good say bad afternoon
neutral,says ive got number 10 getting low
worry,misses twitastic fwiends
worry,advice lookin phone cost relationship
fun,playing street fighter iv seth raped
hate,weird guys house dont like
surprise,fuck wasting deodorant aint goin aint havin company let funk ya
neutral,wish knew curse tumblr
sadness,beautiful day shame ive got spend office
neutral,business exam tomorrow
worry,oh know budgeting
sadness,just finished watching series return chasers war really quite crap compared used
sadness,wow just realized havent checked twitter 9am saw todo list good news got lot bad newsdont know day went
sadness,miss bestfriend left school
surprise,ouch earphones just shocked
sadness,tummy hurts
neutral,grimsby sucks bein amazin wknd
sadness,farewelling employee tonight
neutral,haha 18 ive got curse friends liking tai lol
worry,gorgeous weather bike
sadness,morning water heatings packed bath really want bath
sadness,girls confusing
sadness,lyrically_me
love,seeu shouldnt comin 4 city u comin 4
sadness,blackout city good
neutral,aww maybe traumatized
happiness,flights booked plus ggd2 1st birthday miss especially missed ggd1
hate,live small markets deliver dayold bread food bank times really tough
worry,drunk hickups pretty laid great night help mad situation
worry,think medicine cuz laughing hard head pain thought laughter gud
neutral,ugh happened today really need hug
neutral,ur pic gone
worry,tongue hurts need sleep
neutral,twitter
sadness,chris staying glasgow instead cause absolutely accomodation edinburgh marathon
love,wait till sunday new episode supernatural 6 episodes left
neutral,awww ok lol hopefully im states
sadness,sad tweets sad
worry,needs little lie feeling great today boo
neutral,workplace shortsleeved shirt absolutely necessary today
sadness,decided just stand s alltop spam longer
worry,anal sex forgot lube damn need er
worry,playn madden austin im going miss
sadness,miss rich
sadness,headache century coming feel fuck
sadness,disappointed know got silver award want gold award hate second best
worry,make livechat saturday cus school weekdays56
worry,want bed child look sleep sunday enevitable hangover require
